BGC Subzone,BEU_#,Name,Script rule,Change to BEU =
ESSFmk,FR,Amabilis Fir - Western Hemlock ,Error,EF
ESSFwv,FR,Amabilis Fir - Western Hemlock ,Error,EW
ICHmc,FR,Amabilis Fir - Western Hemlock ,Error,IS
MHmm,FR,Amabilis Fir - Western Hemlock ,Error,MF
MHmmp,FR,Amabilis Fir - Western Hemlock ,Error,HP
MHwh1,FR,Amabilis Fir - Western Hemlock ,Error,MF
MHwhp,FR,Amabilis Fir - Western Hemlock ,Error,HP
SBSmc,FR,Amabilis Fir - Western Hemlock ,Error,SF
BAFAun,FS,Fast Perennial Stream,Error,RI
BAFAunp,FS,Fast Perennial Stream,Error,RI
BWBSdk,FS,Fast Perennial Stream,Error,RI
BWBSmk,FS,Fast Perennial Stream,Error,RI
BWBSmw,FS,Fast Perennial Stream,Error,RI
BWBSwk,FS,Fast Perennial Stream,Error,RI
ESSFmc,FS,Fast Perennial Stream,Error,RI
ESSFmcp,FS,Fast Perennial Stream,Error,RI
ESSFmm,FS,Fast Perennial Stream,Error,RI
ESSFmmp,FS,Fast Perennial Stream,Error,RI
ESSFmv,FS,Fast Perennial Stream,Error,RI
ESSFmvp,FS,Fast Perennial Stream,Error,RI
ESSFvc,FS,Fast Perennial Stream,Error,RI
ESSFwc,FS,Fast Perennial Stream,Error,RI
ESSFwcp,FS,Fast Perennial Stream,Error,RI
ESSFwcw,FS,Fast Perennial Stream,Error,RI
ESSFwk,FS,Fast Perennial Stream,Error,RI
ESSFwv,FS,Fast Perennial Stream,Error,RI
ESSFwvp,FS,Fast Perennial Stream,Error,RI
ESSFxv,FS,Fast Perennial Stream,Error,RI
SBPSdc,FS,Fast Perennial Stream,Error,RI
SBPSmc,FS,Fast Perennial Stream,Error,RI
SBPSmk,FS,Fast Perennial Stream,Error,RI
SBSdh,FS,Fast Perennial Stream,Error,RI
SBSdk,FS,Fast Perennial Stream,Error,RI
SBSdw,FS,Fast Perennial Stream,Error,RI
SBSmc,FS,Fast Perennial Stream,Error,RI
SBSmh,FS,Fast Perennial Stream,Error,RI
SBSmk,FS,Fast Perennial Stream,Error,RI
SBSmw,FS,Fast Perennial Stream,Error,RI
SBSvk,FS,Fast Perennial Stream,Error,RI
SBSwk,FS,Fast Perennial Stream,Error,RI
SWBmk,FS,Fast Perennial Stream,Error,RI
SWBmks,FS,Fast Perennial Stream,Error,RI
BWBSdk,GB,Gravel Bar,Allowed,
BWBSmk,GB,Gravel Bar,Allowed,
BWBSmw,GB,Gravel Bar,Allowed,
BWBSwk,GB,Gravel Bar,Allowed,
CWHvm,GB,Gravel Bar,Allowed,
CWHws,GB,Gravel Bar,Allowed,
ESSFmcp,GB,Gravel Bar,Allowed,
ESSFmmp,GB,Gravel Bar,Allowed,
ESSFmvp,GB,Gravel Bar,Allowed,
ESSFwcp,GB,Gravel Bar,Allowed,
ESSFwcw,GB,Gravel Bar,Allowed,
ESSFwvp,GB,Gravel Bar,Allowed,
ICHmc,GB,Gravel Bar,Allowed,
SBPSdc,GB,Gravel Bar,Allowed,
SBPSmc,GB,Gravel Bar,Allowed,
SBPSmk,GB,Gravel Bar,Allowed,
SBSdh,GB,Gravel Bar,Allowed,
SBSdk,GB,Gravel Bar,Allowed,
SBSdw,GB,Gravel Bar,Allowed,
SBSmc,GB,Gravel Bar,Allowed,
SBSmh,GB,Gravel Bar,Allowed,
SBSmk,GB,Gravel Bar,Allowed,
SBSmw,GB,Gravel Bar,Allowed,
SBSvk,GB,Gravel Bar,Allowed,
SBSwk,GB,Gravel Bar,Allowed,
SWBmk,GB,Gravel Bar,Allowed,
SWBmks,GB,Gravel Bar,Allowed,
BAFAun,GL,Glacier,Allowed,
BAFAunp,GL,Glacier,Allowed,
CMAun,GL,Glacier,Allowed,
CMAunp,GL,Glacier,Allowed,
CWHvm,GL,Glacier,Error,UV
CWHws,GL,Glacier,Allowed,
ESSFmc,GL,Glacier,Allowed,
ESSFmcp,GL,Glacier,Allowed,
ESSFmk,GL,Glacier,Error,UV
ESSFmkp,GL,Glacier,Allowed,
ESSFmm,GL,Glacier,Allowed,
ESSFmmp,GL,Glacier,Allowed,
ESSFmv,GL,Glacier,Allowed,
ESSFmvp,GL,Glacier,Allowed,
ESSFun,GL,Glacier,Allowed,
ESSFunp,GL,Glacier,Allowed,
ESSFvc,GL,Glacier,Allowed,
ESSFwc,GL,Glacier,Allowed,
ESSFwcp,GL,Glacier,Allowed,
ESSFwcw,GL,Glacier,Allowed,
ESSFwk,GL,Glacier,Allowed,
ESSFwv,GL,Glacier,Allowed,
ESSFwvp,GL,Glacier,Allowed,
ESSFxv,GL,Glacier,Allowed,
IMAun,GL,Glacier,Allowed,
MHmm,GL,Glacier,Error,UV
MHmmp,GL,Glacier,Allowed,
SBSdh,GL,Glacier,Error,UV
SBSdk,GL,Glacier,Error,UV
SBSdw,GL,Glacier,Error,UV
SBSmc,GL,Glacier,Error,UV
SBSmh,GL,Glacier,Error,UV
SBSmk,GL,Glacier,Error,UV
SBSmw,GL,Glacier,Error,UV
SBSvk,GL,Glacier,Error,UV
SBSwk,GL,Glacier,Error,UV
SWBmk,GL,Glacier,Allowed,
SWBmks,GL,Glacier,Allowed,
CWHwm,GL,Glacier,Error ,UV
ICHvc,GL,Glacier,Allowed ,
BWBSdk,GP,Gravel Pit,Allowed,
BWBSmk,GP,Gravel Pit,Allowed,
BWBSmw,GP,Gravel Pit,Allowed,
BWBSwk,GP,Gravel Pit,Allowed,
CWHvm,GP,Gravel Pit,Allowed,
CWHwm,GP,Gravel Pit,Allowed,
CWHws,GP,Gravel Pit,Allowed,
ESSFmc,GP,Gravel Pit,Allowed,
ESSFmm,GP,Gravel Pit,Allowed,
ESSFmv,GP,Gravel Pit,Allowed,
ESSFvc,GP,Gravel Pit,Allowed,
ESSFwc,GP,Gravel Pit,Allowed,
ESSFwcw,GP,Gravel Pit,Allowed,
ESSFwk,GP,Gravel Pit,Allowed,
ESSFwv,GP,Gravel Pit,Allowed,
ESSFxv,GP,Gravel Pit,Allowed,
ICHmc,GP,Gravel Pit,Allowed,
ICHmm,GP,Gravel Pit,Allowed,
ICHvc,GP,Gravel Pit,Allowed,
ICHwk,GP,Gravel Pit,Allowed,
MHmm,GP,Gravel Pit,Allowed,
MHmmp,GP,Gravel Pit,Allowed,
SBPSdc,GP,Gravel Pit,Allowed,
SBPSmc,GP,Gravel Pit,Allowed,
SBPSmk,GP,Gravel Pit,Allowed,
SBSdh,GP,Gravel Pit,Allowed,
SBSdk,GP,Gravel Pit,Allowed,
SBSdw,GP,Gravel Pit,Allowed,
SBSmc,GP,Gravel Pit,Allowed,
SBSmc2,GP,Gravel Pit,Allowed,
SBSmc3,GP,Gravel Pit,Allowed,
SBSmh,GP,Gravel Pit,Allowed,
SBSmk,GP,Gravel Pit,Allowed,
SBSmw,GP,Gravel Pit,Allowed,
SBSvk,GP,Gravel Pit,Allowed,
SBSwk,GP,Gravel Pit,Allowed,
CWHvh,HL,Coastal Western Hemlock - Lodgepole Pine,Allowed,
CWHvm,HL,Coastal Western Hemlock - Lodgepole Pine,Allowed,
CWHwm,HL,Coastal Western Hemlock - Lodgepole Pine,Allowed,
CWHws,HL,Coastal Western Hemlock - Lodgepole Pine,Allowed,
BAFAun,HP,Mountain Hemlock Parkland,Allowed,
BAFAunp,HP,Mountain Hemlock Parkland,Allowed,
CMAun,HP,Mountain Hemlock Parkland,Allowed,
CMAunp,HP,Mountain Hemlock Parkland,Allowed,
CWHvh,HP,Mountain Hemlock Parkland,Error,HL
CWHvm,HP,Mountain Hemlock Parkland,Error,HL
CWHws,HP,Mountain Hemlock Parkland,Error,HL
ESSFmk,HP,Mountain Hemlock Parkland,Error,WP
ESSFmkp,HP,Mountain Hemlock Parkland,Error,WP
ESSFwv,HP,Mountain Hemlock Parkland,Error,FP
ESSFwvp,HP,Mountain Hemlock Parkland,Allowed,
ICHmc,HP,Mountain Hemlock Parkland,Error,FR
MHmm,HP,Mountain Hemlock Parkland,Allowed,
MHmmp,HP,Mountain Hemlock Parkland,Allowed,
MHwh1,HP,Mountain Hemlock Parkland,Allowed,
MHwhp,HP,Mountain Hemlock Parkland,Allowed,
CWHvh,HS,Western Hemlock - Sitka Spruce,Allowed,
CWHwm,HS,Western Hemlock - Sitka Spruce,Allowed,
CWHws,HS,Western Hemlock - Sitka Spruce,Allowed,
MHmm,HS,Western Hemlock - Sitka Spruce,Error,MF
MHmmp,HS,Western Hemlock - Sitka Spruce,Error,HP
MHwh1,HS,Western Hemlock - Sitka Spruce,Error,MF
ESSFmc,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFmm,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFmv,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFvc,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFwc,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFwcw,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFwk,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFwv,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ESSFxv,IH,Interior Western Hemlock - Douglas-fir,Error,LP
ICHmm,IH,Interior Western Hemlock - Douglas-fir,Allowed,
ICHvk,IH,Interior Western Hemlock - Douglas-fir,Allowed,
ICHwk,IH,Interior Western Hemlock - Douglas-fir,Allowed,
SBSdh,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSdk,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSdw,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSmc,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSmh,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSmk,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSmw,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSvk,IH,Interior Western Hemlock - Douglas-fir,Error,DF
SBSwk,IH,Interior Western Hemlock - Douglas-fir,Error,DF
ESSFmcp,IN,Intermittent Stream,Allowed,
ESSFmmp,IN,Intermittent Stream,Allowed,
ESSFmvp,IN,Intermittent Stream,Allowed,
ESSFwcp,IN,Intermittent Stream,Allowed,
ESSFwcw,IN,Intermittent Stream,Allowed,
ESSFwvp,IN,Intermittent Stream,Allowed,
SBSdh,IN,Intermittent Stream,Error,RI
SBSdk,IN,Intermittent Stream,Error,RI
SBSdw,IN,Intermittent Stream,Error,RI
SBSmc,IN,Intermittent Stream,Error,RI
SBSmh,IN,Intermittent Stream,Error,RI
SBSmk,IN,Intermittent Stream,Error,RI
SBSmw,IN,Intermittent Stream,Error,RI
SBSvk,IN,Intermittent Stream,Error,RI
SBSwk,IN,Intermittent Stream,Error,RI
SWBmks,IN,Intermittent Stream,Allowed,
ESSFmc,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFmm,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFmv,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFun,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFvc,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFwc,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFwcw,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFwk,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFwv,IS,Interior Western Hemlock - White Spruce,Error,EF
ESSFxv,IS,Interior Western Hemlock - White Spruce,Error,EF
ICHmc,IS,Interior Western Hemlock - White Spruce,Allowed,
ICHmm,IS,Interior Western Hemlock - White Spruce,Allowed,
ICHvc,IS,Interior Western Hemlock - White Spruce,Allowed,
ICHvk,IS,Interior Western Hemlock - White Spruce,Allowed,
ICHwk,IS,Interior Western Hemlock - White Spruce,Allowed,
MHmm,IS,Interior Western Hemlock - White Spruce,Error,MF
SBSdh,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSdk,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSdw,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSmc,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSmh,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSmk,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSmw,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSun,IS,Interior Western Hemlock - White Spruce,Error,SL
SBSvk,IS,Interior Western Hemlock - White Spruce,Error,SD
SBSwk,IS,Interior Western Hemlock - White Spruce,Error,SD
BAFAun,LL,Large Lake,Allowed,
BAFAunp,LL,Large Lake,Allowed,
BWBSdk,LL,Large Lake,Allowed,
BWBSmk,LL,Large Lake,Allowed,
BWBSmw,LL,Large Lake,Allowed,
BWBSwk,LL,Large Lake,Allowed,
CMAun,LL,Large Lake,Allowed,
CWHvh,LL,Large Lake,Allowed,
CWHvm,LL,Large Lake,Allowed,
CWHwm,LL,Large Lake,Allowed,
CWHws,LL,Large Lake,Allowed,
ESSFmc,LL,Large Lake,Allowed,
ESSFmcp,LL,Large Lake,Allowed,
ESSFmk,LL,Large Lake,Allowed,
ESSFmkp,LL,Large Lake,Allowed,
ESSFmm,LL,Large Lake,Allowed,
ESSFmmp,LL,Large Lake,Allowed,
ESSFmv,LL,Large Lake,Allowed,
ESSFmvp,LL,Large Lake,Allowed,
ESSFun,LL,Large Lake,Allowed,
ESSFunp,LL,Large Lake,Allowed,
ESSFvc,LL,Large Lake,Allowed,
ESSFwc,LL,Large Lake,Allowed,
ESSFwcp,LL,Large Lake,Allowed,
ESSFwcw,LL,Large Lake,Allowed,
ESSFwk,LL,Large Lake,Allowed,
ESSFwv,LL,Large Lake,Allowed,
ESSFwvp,LL,Large Lake,Allowed,
ESSFxv,LL,Large Lake,Allowed,
ICHmc,LL,Large Lake,Allowed,
ICHmm,LL,Large Lake,Allowed,
ICHvc,LL,Large Lake,Allowed,
ICHwk,LL,Large Lake,Allowed,
MHmm,LL,Large Lake,Allowed,
MHmmp,LL,Large Lake,Allowed,
MHwh1,LL,Large Lake,Allowed,
SBPSdc,LL,Large Lake,Allowed,
SBPSmc,LL,Large Lake,Allowed,
SBPSmk,LL,Large Lake,Allowed,
SBSdh,LL,Large Lake,Allowed,
SBSdk,LL,Large Lake,Allowed,
SBSdw,LL,Large Lake,Allowed,
SBSmc,LL,Large Lake,Allowed,
SBSmh,LL,Large Lake,Allowed,
SBSmk,LL,Large Lake,Allowed,
SBSmw,LL,Large Lake,Allowed,
SBSvk,LL,Large Lake,Allowed,
SBSwk,LL,Large Lake,Allowed,
SWBmk,LL,Large Lake,Allowed,
SWBmks,LL,Large Lake,Allowed,
BAFAun,LP,Lodgepole Pine,Error,AT
BAFAunp,LP,Lodgepole Pine,Error,AT
BWBSdk,LP,Lodgepole Pine,Allowed,
BWBSmk,LP,Lodgepole Pine,Allowed,
BWBSmw,LP,Lodgepole Pine,Allowed,
BWBSwk,LP,Lodgepole Pine,Allowed,
ESSFmc,LP,Lodgepole Pine,Allowed,
ESSFmcp,LP,Lodgepole Pine,Error,FP
ESSFmm,LP,Lodgepole Pine,Allowed,
ESSFmmp,LP,Lodgepole Pine,Error,FP
ESSFmv,LP,Lodgepole Pine,Allowed,
ESSFmvp,LP,Lodgepole Pine,Error,FP
ESSFvc,LP,Lodgepole Pine,Allowed,
ESSFwc,LP,Lodgepole Pine,Allowed,
ESSFwcp,LP,Lodgepole Pine,Error,AT
ESSFwcw,LP,Lodgepole Pine,Allowed,
ESSFwk,LP,Lodgepole Pine,Allowed,
ESSFwv,LP,Lodgepole Pine,Allowed,
ESSFxv,LP,Lodgepole Pine,Allowed,
ICHmc,LP,Lodgepole Pine,Allowed,
ICHmm,LP,Lodgepole Pine,Allowed,
ICHvc,LP,Lodgepole Pine,Allowed,
ICHvk,LP,Lodgepole Pine,Allowed,
ICHwk,LP,Lodgepole Pine,Allowed,
IMAun,LP,Lodgepole Pine,Error,FP
MSxv,LP,Lodgepole Pine,Allowed,
SBPSdc,LP,Lodgepole Pine,Allowed,
SBPSmc,LP,Lodgepole Pine,Allowed,
SBPSmk,LP,Lodgepole Pine,Allowed,
SBSdh,LP,Lodgepole Pine,Allowed,
SBSdk,LP,Lodgepole Pine,Allowed,
SBSdw,LP,Lodgepole Pine,Allowed,
SBSmc,LP,Lodgepole Pine,Allowed,
SBSmh,LP,Lodgepole Pine,Allowed,
SBSmk,LP,Lodgepole Pine,Allowed,
SBSmw,LP,Lodgepole Pine,Allowed,
SBSvk,LP,Lodgepole Pine,Allowed,
SBSwk,LP,Lodgepole Pine,Allowed,
SWBmk,LP,Lodgepole Pine,Error,SA
SWBmks,LP,Lodgepole Pine,Error,SA
BAFAun,LS,Small Lake,Allowed,
BAFAunp,LS,Small Lake,Allowed,
BWBSdk,LS,Small Lake,Allowed,
BWBSmk,LS,Small Lake,Allowed,
BWBSmw,LS,Small Lake,Allowed,
BWBSwk,LS,Small Lake,Allowed,
CMAun,LS,Small Lake,Allowed,
CMAunp,LS,Small Lake,Allowed,
CWHvh,LS,Small Lake,Allowed,
CWHvm,LS,Small Lake,Allowed,
CWHwm,LS,Small Lake,Allowed,
CWHws,LS,Small Lake,Allowed,
ESSFmc,LS,Small Lake,Allowed,
ESSFmcp,LS,Small Lake,Allowed,
ESSFmk,LS,Small Lake,Allowed,
ESSFmkp,LS,Small Lake,Allowed,
ESSFmm,LS,Small Lake,Allowed,
ESSFmmp,LS,Small Lake,Allowed,
ESSFmv,LS,Small Lake,Allowed,
ESSFmvp,LS,Small Lake,Allowed,
ESSFun,LS,Small Lake,Allowed,
ESSFunp,LS,Small Lake,Allowed,
ESSFvc,LS,Small Lake,Allowed,
ESSFwc,LS,Small Lake,Allowed,
ESSFwcp,LS,Small Lake,Allowed,
ESSFwcw,LS,Small Lake,Allowed,
ESSFwk,LS,Small Lake,Allowed,
ESSFwv,LS,Small Lake,Allowed,
ESSFwvp,LS,Small Lake,Allowed,
ESSFxv,LS,Small Lake,Allowed,
ICHmc,LS,Small Lake,Allowed,
ICHmm,LS,Small Lake,Allowed,
ICHvc,LS,Small Lake,Allowed,
ICHvk,LS,Small Lake,Allowed,
ICHwk,LS,Small Lake,Allowed,
IMAun,LS,Small Lake,Allowed,
MHmm,LS,Small Lake,Allowed,
MHmmp,LS,Small Lake,Allowed,
MHwh1,LS,Small Lake,Allowed,
MHwhp,LS,Small Lake,Allowed,
MSxv,LS,Small Lake,Allowed,
SBPSdc,LS,Small Lake,Allowed,
SBPSmc,LS,Small Lake,Allowed,
SBPSmk,LS,Small Lake,Allowed,
SBSdh,LS,Small Lake,Allowed,
SBSdk,LS,Small Lake,Allowed,
SBSdw,LS,Small Lake,Allowed,
SBSmc,LS,Small Lake,Allowed,
SBSmh,LS,Small Lake,Allowed,
SBSmk,LS,Small Lake,Allowed,
SBSmw,LS,Small Lake,Allowed,
SBSvk,LS,Small Lake,Allowed,
SBSwk,LS,Small Lake,Allowed,
SWBmk,LS,Small Lake,Allowed,
SWBmks,LS,Small Lake,Allowed,
BAFAun,ME,Meadow,Error,AM
BAFAunp,ME,Meadow,Error,AM
BWBSdk,ME,Meadow,Allowed,
BWBSmk,ME,Meadow,Allowed,
BWBSmw,ME,Meadow,Allowed,
BWBSwk,ME,Meadow,Allowed,
CWHvh,ME,Meadow,Allowed,
CWHvm,ME,Meadow,Allowed,
CWHwm,ME,Meadow,Allowed,
CWHws,ME,Meadow,Allowed,
ESSFmc,ME,Meadow,Allowed,
ESSFmcp,ME,Meadow,Allowed,
ESSFmk,ME,Meadow,Allowed,
ESSFmm,ME,Meadow,Allowed,
ESSFmmp,ME,Meadow,Allowed,
ESSFmv,ME,Meadow,Allowed,
ESSFmvp,ME,Meadow,Allowed,
ESSFun,ME,Meadow,Error,SM
ESSFvc,ME,Meadow,Allowed,
ESSFwc,ME,Meadow,Allowed,
ESSFwcp,ME,Meadow,Allowed,
ESSFwcw,ME,Meadow,Allowed,
ESSFwk,ME,Meadow,Allowed,
ESSFwv,ME,Meadow,Allowed,
ESSFwvp,ME,Meadow,Allowed,
ESSFxv,ME,Meadow,Allowed,
ICHmc,ME,Meadow,Allowed,
ICHvc,ME,Meadow,Allowed,
MHmm,ME,Meadow,Allowed,
SBPSdc,ME,Meadow,Allowed,
SBPSmc,ME,Meadow,Allowed,
SBPSmk,ME,Meadow,Allowed,
SBSdh,ME,Meadow,Allowed,
SBSdk,ME,Meadow,Allowed,
SBSdw,ME,Meadow,Allowed,
SBSmc,ME,Meadow,Allowed,
SBSmh,ME,Meadow,Allowed,
SBSmk,ME,Meadow,Allowed,
SBSmw,ME,Meadow,Allowed,
SBSvk,ME,Meadow,Allowed,
SBSwk,ME,Meadow,Allowed,
SWBmk,ME,Meadow,Allowed,
SWBmks,ME,Meadow,Allowed,
BAFAun,MF,Mountain Hemlock - Amabilis Fir,Error,HP
BAFAunp,MF,Mountain Hemlock - Amabilis Fir,Error,HP
CMAun,MF,Mountain Hemlock - Amabilis Fir,Error,HP
CMAunp,MF,Mountain Hemlock - Amabilis Fir,Error,HP
CWHvh,MF,Mountain Hemlock - Amabilis Fir,Error,FR
CWHvm,MF,Mountain Hemlock - Amabilis Fir,Error,FR
CWHws,MF,Mountain Hemlock - Amabilis Fir,Error,FR
ESSFmk,MF,Mountain Hemlock - Amabilis Fir,Error,EF
ESSFmkp,MF,Mountain Hemlock - Amabilis Fir,Error,EF
ESSFwv,MF,Mountain Hemlock - Amabilis Fir,Error,EF
ESSFwvp,MF,Mountain Hemlock - Amabilis Fir,Error,FP
ICHmc,MF,Mountain Hemlock - Amabilis Fir,Error,FR
MHmm,MF,Mountain Hemlock - Amabilis Fir,Allowed,
MHmmp,MF,Mountain Hemlock - Amabilis Fir,Allowed,
MHwh1,MF,Mountain Hemlock - Amabilis Fir,Allowed,
MHwhp,MF,Mountain Hemlock - Amabilis Fir,Allowed,
BAFAun,MI,Mine,Allowed,
BAFAunp,MI,Mine,Allowed,
BWBSdk,MI,Mine,Allowed,
BWBSmk,MI,Mine,Allowed,
BWBSmw,MI,Mine,Allowed,
BWBSwk,MI,Mine,Allowed,
CWHvm,MI,Mine,Allowed,
ESSFmc,MI,Mine,Allowed,
ESSFmcp,MI,Mine,Allowed,
ESSFmm,MI,Mine,Allowed,
ESSFmmp,MI,Mine,Allowed,
ESSFmv,MI,Mine,Allowed,
ESSFmvp,MI,Mine,Allowed,
ESSFvc,MI,Mine,Allowed,
ESSFwc,MI,Mine,Allowed,
ESSFwcp,MI,Mine,Allowed,
ESSFwcw,MI,Mine,Allowed,
ESSFwk,MI,Mine,Allowed,
ESSFwv,MI,Mine,Allowed,
ESSFwvp,MI,Mine,Allowed,
ESSFxv,MI,Mine,Allowed,
SBPSdc,MI,Mine,Allowed,
SBPSmc,MI,Mine,Allowed,
SBPSmk,MI,Mine,Allowed,
SBSdh,MI,Mine,Allowed,
SBSdk,MI,Mine,Allowed,
SBSdw,MI,Mine,Allowed,
SBSmc,MI,Mine,Allowed,
SBSmh,MI,Mine,Allowed,
SBSmk,MI,Mine,Allowed,
SBSmw,MI,Mine,Allowed,
SBSvk,MI,Mine,Allowed,
SBSwk,MI,Mine,Allowed,
SWBmk,MI,Mine,Allowed,
SWBmks,MI,Mine,Allowed,
BWBSdk,MR,Marsh,Allowed,
BWBSmk,MR,Marsh,Allowed,
BWBSmw,MR,Marsh,Allowed,
BWBSwk,MR,Marsh,Allowed,
ESSFmcp,MR,Marsh,Allowed,
ESSFmmp,MR,Marsh,Allowed,
ESSFmvp,MR,Marsh,Allowed,
ESSFwcp,MR,Marsh,Allowed,
ESSFwcw,MR,Marsh,Allowed,
ESSFwvp,MR,Marsh,Allowed,
SBPSdc,MR,Marsh,Allowed,
SBPSmc,MR,Marsh,Allowed,
SBPSmk,MR,Marsh,Allowed,
SBSdh,MR,Marsh,Allowed,
SBSdk,MR,Marsh,Allowed,
SBSdw,MR,Marsh,Allowed,
SBSmc,MR,Marsh,Allowed,
SBSmh,MR,Marsh,Allowed,
SBSmk,MR,Marsh,Allowed,
SBSmw,MR,Marsh,Allowed,
SBSvk,MR,Marsh,Allowed,
SBSwk,MR,Marsh,Allowed,
SWBmks,MR,Marsh,Allowed,
BWBSdk,MS,Montane Shrub/Grassland,Allowed,
BWBSmk,MS,Montane Shrub/Grassland,Allowed,
BWBSmw,MS,Montane Shrub/Grassland,Allowed,
BWBSwk,MS,Montane Shrub/Grassland,Allowed,
SBPSdc,MS,Montane Shrub/Grassland,Allowed,
SBPSmc,MS,Montane Shrub/Grassland,Allowed,
SBPSmk,MS,Montane Shrub/Grassland,Allowed,
SBSdh,MS,Montane Shrub/Grassland,Allowed,
SBSdk,MS,Montane Shrub/Grassland,Allowed,
SBSdw,MS,Montane Shrub/Grassland,Allowed,
SBSmc,MS,Montane Shrub/Grassland,Allowed,
SBSmh,MS,Montane Shrub/Grassland,Allowed,
SBSmk,MS,Montane Shrub/Grassland,Allowed,
SBSmw,MS,Montane Shrub/Grassland,Allowed,
SBSvk,MS,Montane Shrub/Grassland,Allowed,
SBSwk,MS,Montane Shrub/Grassland,Allowed,
SWBmk,MS,Montane Shrub/Grassland,Error,SU
BAFAun,OW,Shallow open water,Allowed,
BAFAunp,OW,Shallow open water,Allowed,
BWBSdk,OW,Shallow open water,Allowed,
BWBSmk,OW,Shallow open water,Allowed,
BWBSmw,OW,Shallow open water,Allowed,
BWBSwk,OW,Shallow open water,Allowed,
CMAun,OW,Shallow open water,Allowed,
CMAunp,OW,Shallow open water,Allowed,
CWHvh,OW,Shallow open water,Allowed,
CWHvm,OW,Shallow open water,Allowed,
CWHwm,OW,Shallow open water,Allowed,
CWHws,OW,Shallow open water,Allowed,
ESSFmc,OW,Shallow open water,Allowed,
ESSFmcp,OW,Shallow open water,Allowed,
ESSFmk,OW,Shallow open water,Allowed,
ESSFmkp,OW,Shallow open water,Allowed,
ESSFmm,OW,Shallow open water,Allowed,
ESSFmmp,OW,Shallow open water,Allowed,
ESSFmv,OW,Shallow open water,Allowed,
ESSFmvp,OW,Shallow open water,Allowed,
ESSFun,OW,Shallow open water,Allowed,
ESSFunp,OW,Shallow open water,Allowed,
ESSFvc,OW,Shallow open water,Allowed,
ESSFwc,OW,Shallow open water,Allowed,
ESSFwcp,OW,Shallow open water,Allowed,
ESSFwcw,OW,Shallow open water,Allowed,
ESSFwk,OW,Shallow open water,Allowed,
ESSFwv,OW,Shallow open water,Allowed,
ESSFwvp,OW,Shallow open water,Allowed,
ESSFxv,OW,Shallow open water,Allowed,
ICHmc,OW,Shallow open water,Allowed,
ICHmm,OW,Shallow open water,Allowed,
ICHvc,OW,Shallow open water,Allowed,
ICHvk,OW,Shallow open water,Allowed,
ICHwk,OW,Shallow open water,Allowed,
IMAun,OW,Shallow open water,Allowed,
MHmm,OW,Shallow open water,Allowed,
MHmmp,OW,Shallow open water,Allowed,
MHwhp,OW,Shallow open water,Allowed,
MSxv,OW,Shallow open water,Allowed,
SBPSdc,OW,Shallow Open Water,Allowed,
SBPSmc,OW,Shallow Open Water,Allowed,
SBPSmk,OW,Shallow Open Water,Allowed,
SBSdh,OW,Shallow Open Water,Allowed,
SBSdk,OW,Shallow Open Water,Allowed,
SBSdw,OW,Shallow Open Water,Allowed,
SBSmc,OW,Shallow Open Water,Allowed,
SBSmh,OW,Shallow Open Water,Allowed,
SBSmk,OW,Shallow Open Water,Allowed,
SBSmw,OW,Shallow Open Water,Allowed,
SBSun,OW,Shallow open water,Allowed,
SBSvk,OW,Shallow Open Water,Allowed,
SBSwk,OW,Shallow Open Water,Allowed,
SWBmk,OW,Shallow open water,Allowed,
SWBmks,OW,Shallow open water,Allowed,
BWBSdk,PR,White Spruce - Balsam Poplar Riparian,Allowed,
BWBSmk,PR,White Spruce - Balsam Poplar Riparian,Allowed,
