FREQ,BGC_Label,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,BEU_MC,REALM,GROUP,CLASS,KIND,Forested (Y/N),Strct_Climax,Stand_Climax,Stand_Age_0-15,Stand_Age_16-30,Stand_Age_31-50,Stand_Age_51-80,Stand_Age_80+,Struct_Age_0-3,Struct_Age_4-10,Struct_Age_11-30,Struct_Age_31-40,Struct_Age_41-60,Struct_Age_61-80,Struct_Age_81-139,Struct_Age_140-249,Struct_Age_250+,Snow_Code
202,,ESSF,mv,3,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
3,,ESSF,mv,3,,UR,T,X,,U,N,,,,,,,,,,,,,,,,,
6,,ESSF,mv,3,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
189,,ESSF,mv,3,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
42,,ESSF,mv,3,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
14,,ESSF,mvp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
3,,ESSF,mvp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
12,,ESSF,mvp,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
5,,ESSF,mvp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
2,,ESSF,mvp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
7,,ESSF,mvp,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
3,,ESSF,mvp,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,ESSF,mvp,,,FB,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
24,,ESSF,mvp,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
81,,ESSF,mvp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
8,,ESSF,mvp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
2,,ESSF,mvp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
17,,ESSF,mvp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,ESSF,mvp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
4,,ESSF,mvp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
28,,ESSF,mvp,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
40,,ESSF,mvp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
1,,ESSF,mvp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,ESSF,mvp,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
7,,ESSF,mvp,,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
5,,ESSF,un,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
5,,ESSF,un,,,BP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,ESSF,un,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2,,ESSF,un,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
1,,ESSF,un,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,ESSF,un,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,ESSF,un,,,FB,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,ESSF,un,,,GB,T,F,a,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
2809,,ESSF,un,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
1982,,ESSF,un,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
3921,,ESSF,un,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
677,,ESSF,un,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
348,,ESSF,un,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
1726,,ESSF,un,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
146,,ESSF,un,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
452,,ESSF,un,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
71,,ESSF,un,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
82,,ESSF,un,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
13,,ESSF,un,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
16,,ESSF,un,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
60,,ESSF,un,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
580,,ESSF,unp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
227,,ESSF,unp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
1873,,ESSF,unp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
508,,ESSF,unp,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
19,,ESSF,unp,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
280,,ESSF,unp,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
381,,ESSF,unp,,,FB,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
169,,ESSF,unp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
3134,,ESSF,unp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
2430,,ESSF,unp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
2318,,ESSF,unp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
982,,ESSF,unp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
135,,ESSF,unp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
349,,ESSF,unp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
150,,ESSF,unp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
27,,ESSF,unp,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
3,,ESSF,unp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
56,,ESSF,unp,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
225,,ESSF,unp,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
74,,ESSF,unp,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
318,,ESSF,wv,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
824,,ESSF,wv,,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
547,,ESSF,wv,,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
151,,ESSF,wv,,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
124,,ESSF,wv,,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
5,,ESSF,wv,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
47,,ESSF,wv,,,CS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
8,,ESSF,wv,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
,,ESSF,wv,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,ESSF,wv,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
45,,ESSF,wv,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
129,,ESSF,wv,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
297,,ESSF,wv,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
5,,ESSF,wv,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,ESSF,wv,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,ESSF,wv,,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,ESSF,wv,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,ESSF,wv,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,ESSF,wv,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
,,ESSF,wv,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
26,,ESSF,wv,,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
12,,ESSF,wv,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
44,,ESSF,wv,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
144,,ESSF,wv,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
38,,ESSF,wv,,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,ESSF,wv,,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
,,ESSF,wv,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
63,,ESSF,wv,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
2627,,ESSF,wv,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
439,,ESSF,wv,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1340,,ESSF,wv,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
3937,,ESSF,wv,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
631,,ESSF,wv,,,UR,T,X,,U,N,,,,,,,,,,,,,,,,,
67777,,ESSF,wv,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2742,,ESSF,wv,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
198,,ESSF,wv,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
238,,ESSF,wv,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,ESSF,wvp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,ESSF,wvp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
793,,ESSF,wvp,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
91,,ESSF,wvp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
2,,ESSF,wvp,,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
42,,ESSF,wvp,,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
2,,ESSF,wvp,,,BK,T,S,k,M,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
60,,ESSF,wvp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
52,,ESSF,wvp,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
15,,ESSF,wvp,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
125,,ESSF,wvp,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
937,,ESSF,wvp,,,FB,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
2803,,ESSF,wvp,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
44302,,ESSF,wvp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
2432,,ESSF,wvp,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
51426,,ESSF,wvp,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
3012,,ESSF,wvp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
33,,ESSF,wvp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
568,,ESSF,wvp,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,ESSF,wvp,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
,,ESSF,wvp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,ESSF,wvp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,ESSF,wvp,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
1796,,ESSF,wvp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
621,,ESSF,wvp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
122,,ESSF,wvp,,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
73,,ESSF,wvp,,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
12,,ESSF,wvp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
4,,ESSF,wvp,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
9,,ESSF,wvp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
263,,ESSF,wvp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
68,,ESSF,wvp,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
1227,,ESSF,wvp,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
144,,ESSF,wvp,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
74,,ESSF,wvp,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
585,,ESSF,wvp,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
217,,ESSF,xv,1,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
46,,ESSF,xv,1,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
14,,ESSF,xv,1,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
9,,ESSF,xv,1,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
6,,ESSF,xv,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
112,,ESSF,xv,1,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
115,,ESSF,xv,1,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
2439,,ESSF,xv,1,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
118,,ESSF,xv,1,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
460,,ESSF,xv,1,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
2609,,ESSF,xv,1,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
416,,ESSF,xv,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
11,,ESSF,xv,1,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
7,,ESSF,xv,1,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,ESSF,xv,1,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
1099,,ESSF,xv,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
153,,ESSF,xv,1,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
11,,ESSF,xv,1,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
54,,ESSF,xv,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,ESSF,xv,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
64,,ESSF,xv,1,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
8,,ESSF,xv,1,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
30,,ESSF,xv,1,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
7,,ESSF,xv,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
3,,ESSF,xv,1,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
23,,ESSF,xv,1,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
238,,ESSF,xv,1,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
953,,ESSF,xv,1,,UR,T,X,,U,N,,,,,,,,,,,,,,,,,
2472,,ESSF,xv,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
9,,ESSF,xv,1,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
109,,ICH,mc,1,,AD,T,,,M,N,3b,,,,,,,3b,3b,3b,3b,3b,3b,3b,3b,3b,
14,,ICH,mc,1,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
6,,ICH,mc,1,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
1,,ICH,mc,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
12,,ICH,mc,1,,CR,T,F,h,M,Y,6,B,,B,B,B,B,2,3a,3b,3c,4,5,6,6,6,
156,,ICH,mc,1,,CS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
989,,ICH,mc,1,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
45,,ICH,mc,1,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
143,,ICH,mc,1,,IH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
4,,ICH,mc,1,,IS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
13,,ICH,mc,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
86,,ICH,mc,1,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
31,,ICH,mc,1,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
103,,ICH,mc,1,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
7,,ICH,mc,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
1,,ICH,mc,1,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
7,,ICH,mc,1,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
58,,ICH,mc,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
172,,ICH,mc,1,,RR,T,T,,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
1,,ICH,mc,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
5,,ICH,mc,1,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
12,,ICH,mc,1,,SK,W,M,s,M,Y,7,C,,,C,C,C,2,3a,3b,3c,4,5,6,7,7,
1,,ICH,mc,1,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
51,,ICH,mc,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,ICH,mc,1,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,ICH,mc,1,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,ICH,mc,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
11,,ICH,mc,1,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
1,,ICH,mc,1,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
4,,ICH,mc,1,,WR,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
4,,ICH,mc,1,a,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
5,,ICH,mc,1,a,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
15,,ICH,mc,1,a,CS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2,,ICH,mc,1,a,IS,T,T,,M,Y,7a,C,,,C,C,C,1,3a,3b,3c,4,5,6,7a,7a,
,,ICH,mc,1,a,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,ICH,mc,1,a,LS,O,,,N,N,,,,,,,,,,,,,,,,,
,,ICH,mc,1,a,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,ICH,mc,1,a,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,ICH,mc,1,a,RI,O,,,N,N,,,,,,,,,,,,,,,,,
123,,ICH,mc,1,a,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
63,,ICH,mc,1,a,RR,T,T,,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
2,,ICH,mc,1,a,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
17,,ICH,mc,1,a,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
211,,ICH,mc,1,a,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
31,,ICH,mc,1,a,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
3,,ICH,mc,1,a,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,ICH,mc,1,a,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
12,,ICH,mc,1,a,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
50,,ICH,mc,2,,AD,T,,,M,N,3b,,,,,,,3b,3b,3b,3b,3b,3b,3b,3b,3b,
196,,ICH,mc,2,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
49,,ICH,mc,2,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
2,,ICH,mc,2,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1,,ICH,mc,2,,CR,T,F,h,M,Y,6,B,,B,B,B,B,2,3a,3b,3c,4,5,6,6,6,
1,,ICH,mc,2,,CS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
75,,ICH,mc,2,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
5,,ICH,mc,2,,GB,T,F,a,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
6,,ICH,mc,2,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,ICH,mc,2,,IH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,ICH,mc,2,,IS,T,T,,M,Y,7a,C,,,C,C,C,1,3a,3b,3c,4,5,6,7a,7a,
124,,ICH,mc,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
34,,ICH,mc,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
53,,ICH,mc,2,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
1,,ICH,mc,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
14,,ICH,mc,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
47,,ICH,mc,2,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1559,,ICH,mc,2,,RR,T,T,,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
77,,ICH,mc,2,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
65,,ICH,mc,2,,SF,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
296,,ICH,mc,2,,SK,W,M,s,M,Y,7,C,,,C,C,C,2,3a,3b,3c,4,5,6,7,7,
1,,ICH,mc,2,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
85,,ICH,mc,2,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
32,,ICH,mc,2,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
19,,ICH,mc,2,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
45,,ICH,mc,2,,WG,T,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
